,Epsilon,Score
670,1.0,-55
671,1.0,-54
672,1.0,-55
673,1.0,-58
674,1.0,-66
675,1.0,-68
676,1.0,-57
677,1.0,-56
678,1.0,-53
679,1.0,-60
680,1.0,-54
681,1.0,-53
682,1.0,-55
683,1.0,46
684,1.0,-56
685,1.0,-55
686,1.0,-59
687,1.0,-58
688,1.0,-55
689,1.0,-53
690,1.0,-62
691,1.0,-76
692,1.0,-61
693,1.0,-52
694,1.0,-61
695,1.0,-71
696,1.0,-76
697,1.0,-55
698,1.0,-62
699,1.0,-53
700,1.0,-53
701,1.0,-55
702,1.0,-54
703,1.0,-58
704,1.0,-61
705,1.0,-72
706,1.0,-57
707,1.0,-53
708,1.0,49
709,1.0,-56
710,1.0,-58
711,1.0,-53
712,1.0,-60
713,1.0,-62
714,1.0,-53
715,1.0,-72
716,1.0,-54
717,1.0,-64
718,1.0,-52
719,1.0,-57
720,1.0,-54
721,1.0,-53
722,1.0,-58
723,1.0,-62
724,1.0,-56
725,1.0,-55
726,1.0,-54
727,1.0,-52
728,1.0,-57
729,1.0,-52
730,1.0,-68
731,1.0,-54
732,1.0,-52
733,1.0,-55
734,1.0,-56
735,1.0,-92
736,1.0,-61
737,1.0,-69
738,1.0,-53
739,1.0,39
740,1.0,-56
741,1.0,-55
742,1.0,-54
743,1.0,-58
744,1.0,-59
745,1.0,-52
746,1.0,-58
747,1.0,-55
748,1.0,-64
749,1.0,-54
750,1.0,-52
751,1.0,-55
752,1.0,-59
753,1.0,-60
754,1.0,-52
755,1.0,-53
756,1.0,49
757,1.0,-56
758,1.0,-57
759,1.0,-55
760,1.0,-55
761,1.0,-66
762,1.0,-57
763,1.0,-66
764,1.0,-60
765,1.0,-62
766,1.0,-53
767,1.0,-61
768,1.0,-53
769,1.0,-54
770,1.0,-56
771,1.0,-66
772,1.0,-58
773,1.0,-57
774,1.0,-53
775,1.0,-52
776,1.0,46
777,1.0,-54
778,1.0,-54
779,1.0,-53
780,1.0,-54
781,1.0,-65
782,1.0,-57
783,1.0,-57
784,1.0,-53
785,1.0,-56
786,1.0,-68
787,1.0,49
788,1.0,-62
789,1.0,-52
790,1.0,-55
791,1.0,-73
792,1.0,-52
793,1.0,-69
794,1.0,-53
795,1.0,-68
796,1.0,-54
797,1.0,-57
798,1.0,-57
799,1.0,-55
800,1.0,-57
801,1.0,-53
802,1.0,-52
803,1.0,-67
804,1.0,-68
805,1.0,-52
806,1.0,-63
807,1.0,-54
808,1.0,-73
809,1.0,-56
810,1.0,-59
811,1.0,-54
812,1.0,-54
813,1.0,49
814,1.0,-54
815,1.0,-71
816,1.0,-56
817,1.0,-65
818,1.0,-57
819,1.0,-53
820,1.0,-67
821,1.0,-55
822,1.0,-60
823,1.0,28
824,1.0,-52
825,1.0,48
826,1.0,-52
827,1.0,-57
828,1.0,-72
829,1.0,-63
830,1.0,-53
831,1.0,-53
832,1.0,-52
833,1.0,-89
834,1.0,-63
835,1.0,-53
836,1.0,-56
837,1.0,-61
838,1.0,-60
839,1.0,-52
840,1.0,-52
841,1.0,26
842,1.0,-61
843,1.0,45
844,1.0,-57
845,1.0,-65
846,1.0,-60
847,1.0,-72
848,1.0,34
849,1.0,-54
850,1.0,-52
851,1.0,-54
852,1.0,-58
853,1.0,-55
854,1.0,-55
855,1.0,-58
856,1.0,-54
857,1.0,-57
858,1.0,-57
859,1.0,-61
860,1.0,-66
861,1.0,-54
862,1.0,-59
863,1.0,-74
864,1.0,-53
865,1.0,-52
866,1.0,-58
867,1.0,-56
868,1.0,-58
869,1.0,-53
870,1.0,-52
871,1.0,-53
872,1.0,-70
873,1.0,-72
874,1.0,-57
875,1.0,-64
876,1.0,-55
877,1.0,-60
878,1.0,-52
879,1.0,-55
880,1.0,-67
881,1.0,-60
882,1.0,-54
883,1.0,-59
884,1.0,-53
885,1.0,-59
886,1.0,-53
887,1.0,-57
888,1.0,-53
889,1.0,-63
890,1.0,-57
891,1.0,-56
892,1.0,-54
893,1.0,-52
894,1.0,-67
895,1.0,-53
896,1.0,-52
897,1.0,-60
898,1.0,-52
899,1.0,-54
900,1.0,-52
901,1.0,-56
902,1.0,-55
903,1.0,-55
904,1.0,-52
905,1.0,-57
906,1.0,-53
907,1.0,-52
908,1.0,-59
909,1.0,-53
910,1.0,34
911,1.0,-52
912,1.0,-58
913,1.0,-53
914,1.0,-59
915,1.0,-55
916,1.0,-58
917,1.0,-55
918,1.0,-69
919,1.0,-66
920,1.0,-54
921,1.0,-72
922,1.0,-75
923,1.0,-62
924,1.0,-52
925,1.0,-55
926,1.0,-57
927,1.0,-55
928,1.0,-55
929,1.0,-68
930,1.0,-53
931,1.0,-58
932,1.0,-75
933,1.0,-52
934,1.0,-54
935,1.0,-59
936,1.0,-53
937,1.0,-56
938,1.0,-55
939,1.0,-53
940,1.0,-55
941,1.0,-63
942,1.0,39
943,1.0,-59
944,1.0,-60
945,1.0,-56
946,1.0,-57
947,1.0,-58
948,1.0,-58
949,1.0,15
950,1.0,-59
951,1.0,-55
952,1.0,-74
953,1.0,-55
954,1.0,-63
955,1.0,33
956,1.0,-70
957,1.0,-61
958,1.0,-52
959,1.0,-53
960,1.0,-59
961,1.0,-58
962,1.0,-62
963,1.0,-56
964,1.0,-78
965,1.0,-65
966,1.0,-62
967,1.0,-54
968,1.0,-74
969,1.0,47
970,1.0,-58
971,1.0,-52
972,1.0,-53
973,1.0,-57
974,1.0,-84
975,1.0,-52
976,1.0,-54
977,1.0,-74
978,1.0,-69
979,1.0,-59
980,1.0,-61
981,1.0,-62
982,1.0,-58
983,1.0,-54
984,1.0,-55
985,1.0,-52
986,1.0,-52
987,1.0,-54
988,1.0,-59
989,1.0,-53
990,1.0,-60
991,1.0,-69
992,1.0,-53
993,1.0,-59
994,1.0,36
995,1.0,-60
996,1.0,-53
997,1.0,-75
998,1.0,-72
999,1.0,-54
1000,1.0,-56
1001,1.0,-52
1002,1.0,-55
1003,1.0,-55
1004,1.0,-61
1005,1.0,-54
1006,1.0,-53
1007,1.0,-53
1008,1.0,-65
1009,1.0,49
1010,1.0,-70
1011,1.0,-55
1012,1.0,-54
1013,1.0,-52
1014,1.0,-53
1015,1.0,-58
1016,1.0,-55
1017,1.0,-57
1018,1.0,-53
1019,1.0,-65
1020,1.0,-57
1021,1.0,-64
1022,1.0,-53
1023,1.0,-68
1024,1.0,-56
1025,1.0,-76
1026,1.0,-70
1027,1.0,-55
1028,1.0,-58
1029,1.0,-54
1030,1.0,-54
1031,1.0,-54
1032,1.0,-55
1033,1.0,-66
1034,1.0,-59
1035,1.0,-53
1036,1.0,-52
1037,1.0,-66
1038,1.0,-69
1039,1.0,-58
1040,1.0,-54
1041,1.0,-52
1042,1.0,-68
1043,1.0,-56
1044,1.0,-52
1045,1.0,-59
1046,1.0,-58
1047,1.0,-56
1048,1.0,-55
1049,1.0,-89
1050,1.0,-57
1051,1.0,-66
1052,1.0,-53
1053,1.0,-57
1054,1.0,-88
1055,1.0,-60
1056,1.0,-58
1057,1.0,-58
1058,1.0,-57
1059,1.0,-53
1060,1.0,-56
1061,1.0,-58
1062,1.0,-58
1063,1.0,-55
1064,1.0,-59
1065,1.0,41
1066,1.0,-52
1067,1.0,-55
1068,1.0,-65
1069,1.0,-62
1070,1.0,42
1071,1.0,-52
1072,1.0,-69
1073,1.0,48
1074,1.0,-73
1075,1.0,-53
1076,1.0,-57
1077,1.0,-52
1078,1.0,-53
1079,1.0,-52
1080,1.0,-54
1081,1.0,-66
1082,1.0,-81
1083,1.0,-55
1084,1.0,-65
1085,1.0,-62
1086,1.0,-59
1087,1.0,-55
1088,1.0,-67
1089,1.0,-59
1090,1.0,-67
1091,1.0,-54
1092,1.0,-53
1093,1.0,-55
1094,1.0,-52
1095,1.0,47
1096,1.0,-54
1097,1.0,-56
1098,1.0,-80
1099,1.0,-53
1100,1.0,-74
1101,1.0,-60
1102,1.0,-54
1103,1.0,-53
1104,1.0,-60
1105,1.0,-75
1106,1.0,-54
1107,1.0,-62
1108,1.0,-55
1109,1.0,-55
1110,1.0,-54
1111,1.0,-54
1112,1.0,-76
1113,1.0,-63
1114,1.0,-55
1115,1.0,-66
1116,1.0,47
1117,1.0,-67
1118,1.0,-62
1119,1.0,-54
1120,1.0,-53
1121,1.0,-55
1122,1.0,-93
1123,1.0,-61
1124,1.0,-54
1125,1.0,-57
1126,1.0,-54
1127,1.0,-54
1128,1.0,-63
1129,1.0,-55
1130,1.0,-62
1131,1.0,-60
1132,1.0,40
1133,1.0,-68
1134,1.0,-52
1135,1.0,-56
1136,1.0,-57
1137,1.0,-54
1138,1.0,-55
1139,1.0,-61
1140,1.0,-53
1141,1.0,-74
1142,1.0,-69
1143,1.0,-64
1144,1.0,-52
1145,1.0,-59
1146,1.0,-58
1147,1.0,-52
1148,1.0,-74
1149,1.0,-58
1150,1.0,-52
1151,1.0,-62
1152,1.0,-55
1153,1.0,-58
1154,1.0,-54
1155,1.0,-61
1156,1.0,-54
1157,1.0,-53
1158,1.0,-65
1159,1.0,-59
1160,1.0,-52
1161,1.0,-63
1162,1.0,28
1163,1.0,-77
1164,1.0,47
1165,1.0,-66
1166,1.0,-53
1167,1.0,-69
1168,1.0,-59
1169,1.0,-52
1170,1.0,-53
1171,1.0,-57
1172,1.0,-60
1173,1.0,-57
1174,1.0,-77
1175,1.0,-55
1176,1.0,38
1177,1.0,-53
1178,1.0,-56
1179,1.0,-60
1180,1.0,-63
1181,1.0,-57
1182,1.0,-64
1183,1.0,-52
1184,1.0,-59
1185,1.0,-59
1186,1.0,46
1187,1.0,-57
1188,1.0,43
1189,1.0,-54
1190,1.0,-54
1191,1.0,-55
1192,1.0,-69
1193,1.0,-56
1194,1.0,-54
1195,1.0,-53
1196,1.0,43
1197,1.0,-52
1198,1.0,-52
1199,1.0,-56
1200,1.0,-52
1201,1.0,-52
1202,1.0,-60
1203,1.0,-63
1204,1.0,-55
1205,1.0,-54
1206,1.0,49
1207,1.0,-52
1208,1.0,-61
1209,1.0,-56
1210,1.0,-55
1211,1.0,-74
1212,1.0,-59
1213,1.0,-57
1214,1.0,37
1215,1.0,-65
1216,1.0,-59
1217,1.0,-68
1218,1.0,-53
1219,1.0,-53
1220,1.0,-54
1221,1.0,-53
1222,1.0,-58
1223,1.0,-58
1224,1.0,-85
1225,1.0,-85
1226,1.0,-65
1227,1.0,-52
1228,1.0,-56
1229,1.0,-53
1230,1.0,-52
1231,1.0,-55
1232,1.0,-60
1233,1.0,46
1234,1.0,-54
1235,1.0,-62
1236,1.0,-55
1237,1.0,-70
1238,1.0,-52
1239,1.0,-57
1240,1.0,-52
1241,1.0,-53
1242,1.0,-52
1243,1.0,-57
1244,1.0,49
1245,1.0,-54
1246,1.0,-60
1247,1.0,-64
